Orate|El artículo miente en el titular. El sistema de plazos procesales del artículo 324 de la LEC, fue establecido en 2015 por el PP. La revisión de 2020 no modificó dichos plazos.
Orate|Al hilo de los plazos establecidos en el artículo 324 de la Ley de Enjuiciamiento Criminal, acabamos de conocer la sentencia de la AN sobre el caso Nueva Rumasa, por el que se condena a penas de cárcel a seis hijos de Ruiz Mateos. El caso se remonta a 2011. Menos mal que los jueces de la AN no han sentido la tentación de sumarse a la iniciativa de este juez sevillano alegando que no les daba tiempo.
Orate|@PEPINO08 #36 Cerrar @ Orate # 33 Tú prefieres el archivo por prescripción como hacía Núñez Bolaños, lo que debería darte vergüenza es mirarte al espejo... Yo prefiero que la justicia no se eternice, porque una justicia lenta no es justicia. También me llama la atención que este juez se plantee esta descabellada iniciativa apelando a casos de hace una década o más.
Orate|La información de Chema Rodríguez especifica que los plazos actuales para la investigación de las causas incoadas, fueron introducidos en el artículo 324 de la LEC por el PP en 2015, es decir, el juez sevillano plantea llevar a la Justicia europea algo que está en nuestro ordenamiento desde hace diez años. Viendo las cosas que se le ocurren a este juez, no me extraña que no le dé tiempo a concluir la causas pendientes en tiempo y forma.
Orate|Este juez de Instrucción de Sevilla "plantea" llevar a la Justicia europea un artículo de la LEC de hace cinco años, igual que los jueces de la AP de esa misma ciudad "planteaban" hace poco presentar una cuestión prejudicial sobre la sentencia de los EREs. La iniciativa levantó mucha polvareda en las páginas de este periódico, pero no hemos vuelto a saber nada de ella.
jonbil37|@loba #27 Cerrar Hay que atacarlos por varios flancos a la vez y se terminarán batiendo en retirada. No podemos dejar que destruyan nuestras libertades y vivan como parásitos de nuestro dinero. La PSOE tiene que ser ilegalizada y que pertenecer a ella o ser simpatizante/votonto sea una lacra. Eso, ilegalizada y con ella el resto de partidos distintos a PP y Vox. Y que vuelva Franco, claro.
PEPINO08|@Orate #33 Cerrar A pesar de ese artículo 324 de la LEC, modificado en 2020 y que limita el plazo de investigación de las causas incoadas, los procesos en España se alargan años y años. Ahora este juez pretende recurrir a Europa porque no tiene tiempo para cerrar en tiempo y forma, asuntos heredados de la jueza Alaya, casos que datan de hacen más de diez años. Ya me está dando vergüenza de la respuesta que le van a dar. Tú prefieres el archivo por prescripción como hacía Núñez Bolaños, lo que debería darte vergüenza es mirarte al espejo...
Franky1973|Otro abogado derechon que ha callado con todas las tramas corruptas del pp y ahora sale a ser protagonista
Pratchett|"Algunos hombres buenos"..
Orate|A pesar de ese artículo 324 de la LEC, modificado en 2020 y que limita el plazo de investigación de las causas incoadas, los procesos en España se alargan años y años. Ahora este juez pretende recurrir a Europa porque no tiene tiempo para cerrar en tiempo y forma, asuntos heredados de la jueza Alaya, casos que datan de hacen más de diez años. Ya me está dando vergüenza de la respuesta que le van a dar.
albertosanpen|Oleee, oleeee y oleeee!!!! Sino es por los jueces, y ffcc seguridad estado, España no tendria salvacion. Pq los politicos solo dan ejemplos contrarios a seguir.
PAUS|@espantajo #16 Cerrar @ Narkosindikalista # 4 Si, pero, este pepejuez, como los otros: el que pueda hacer, que haga... y Leire HIZO
PAUS|@ABG #18 Cerrar Vaya, otro que ha respondido a la llamada del señor Aznar con aquello de "el que pueda aportar, que aporte" Pero como puedes tener la cara tan de hormigón?. Aquí la que estaba haciendo y mucho era la fontanera Leire. La que sigue militando en su partido de mafiosos Sauneros. Enemigos del País como tú.
PEPINO08|@Novale #5 Cerrar Habrá que explicarle al juez que los plazos no los establece el Gobierno, sino el legislativo. ¿Se puede ser juez sin saber eso? Mae mía mae mía...deja de hacer el ridículo chaval que das mucha lástima
Jivino|@N0RL #11 Cerrar @ MAVILAECIJA # 3 @ mimundo69 # 2 @ umbral2 # 1 en serio, dejar de opinar sin saber nada. El artículo 324 Lecrim, establecía antes de la reforma del PSOE un plazo inicial máximo de instrucción de 6 meses, SEIS MESES. La reforma lo amplió a un plazo inicial de 12 meses, informaros. A este juez la Audiencia de Sevilla le ha archivado 2 causas enormes por saltarse a la torera los plazos de instrucción. Y como le van a cascar en otra, está a ver si consigue que no le saquen los colores otra vez. por lo qué tengo entendido así es ...si señor . Sé que en nada
loba|Hay que atacarlos por varios flancos a la vez y se terminarán batiendo en retirada. No podemos dejar que destruyan nuestras libertades y vivan como parásitos de nuestro dinero. La PSOE tiene que ser ilegalizada y que pertenecer a ella o ser simpatizante​/votonto sea una lacra.
PAUS|Por favor HÁGANLO. Salvadnos
PEPINO08|@Pedro0401 #12 Cerrar Por lo que he visto, lo que plantea el juez no tiene sustento. La última reforma de ese artículo se produjo en 2020 y tenía por objeto ampliar el plazo de resolución y la posibilidad de aplicar prórrogas si hay motivos para ello. Te lo explico, normalmente para que no se cumpla el plazo de prescripción se produce un archivo provisional y el tiempo para de correr, lo que ha pasado es que algunos jueces "progresistas" han dejado pasar el plazo de instrucción sin ordenar ninguna diligencia para archivar DEFINITIVAMENTE causas relacionadas con la corrupción socialista en Andalucía...te suena la juez Núñez Bolaños? Lo ha hecho varias veces, es cuñada de un antiguo consejero sociata
Yonoencajo|¿Qué será del país si eliminan a jueces, fiscales y policías que no son de su cuerda? En estos dos añitos que quedan para las elecciones lo sabremos.
Detergente|Muy bien para gran cabreo del capo y del Bolaños
Marluq1952|Adelante, muchos jueces como este hacen falta ya, pero ya y sin ningún tipo de miedos. Como no se actúe, dentro de poco esto será peor que Venezuela y Nicaragua, por no decir Cuba
Jivino|La intención puede ser buena, pero no tiene ninguna basa, ni en europa.
LazaroGonzalez|Lléveles a Europa, no se lo piense.
Fegoms|Los presidentes autonómicos del PP no son capaces ni de acordar entre ellos solos una propuesta de financiación autonómica y por eso jamás la han presentado, tampoco Ayuso, que se supone que es la lista del grupo. Exigen dinero, cada uno para su región tan "maltratada", pero sin ofrecer una alternativa común que deje conformes a todos. Le van a cantar las 40 a Sánchez pero solo porque son unos "cantantes"...y cantantas.
Pelagatos2020|@Fegoms #22 Cerrar Los presidentes autonómicos del PP no son capaces ni de acordar entre ellos solos una propuesta de financiación autonómica y por eso jamás la han presentado, tampoco Ayuso, que se supone que es la lista del grupo. Exigen dinero, cada uno para su región tan "maltratada", pero sin ofrecer una alternativa común que deje conformes a todos. Le van a cantar las 40 a Sánchez pero solo porque son unos "cantantes"...y cantantas. Las carencias de los presidentes autonómicos del PP no le sirven a usted para refutar las críticas a la llamada "financiación particular catalana", la cual pretende ser un instrumento para detraer rentas del resto de los españoles.
barcetabis|"Le vamos a cantar las cuarenta" , a eso es a lo único que se presenta el PP , a la bronca. Presentar programa,soluciones,ideas, nada de nada.
Yaro|@ComoStalpatio #15 Cerrar El esfuerzo del partido popular por romper las costuras del Estado desde cada autonomía que presiden es muchísimo más grave que el que hizo otro personaje actualmente fugado. Y la bulla que dispersa EM en cada artículo, sobre lo que sea, en contra del presidente del gobierno, también es para hacérselo mirar. Ya veremos dónde acabará esta estrategia destructora del PP. ¿Romper las costuras del estado el PP? ¿Con la que lleva liada el galgo desde hace siete años? Jajaja El estado lo ha roto definitivamente SZ con sus concesiones a los separatistas. La última: la salida de secretarios e interventores municipales de la administración local española. Le está proporcionando la independencia a los separatistas catalanes y todo por el poder, por nada más está dispuesto a desmembrar España.
Yaro|@Fegoms #22 Cerrar Los presidentes autonómicos del PP no son capaces ni de acordar entre ellos solos una propuesta de financiación autonómica y por eso jamás la han presentado, tampoco Ayuso, que se supone que es la lista del grupo. Exigen dinero, cada uno para su región tan "maltratada", pero sin ofrecer una alternativa común que deje conformes a todos. Le van a cantar las 40 a Sánchez pero solo porque son unos "cantantes"...y cantantas. Sánchez lo tiene clarísimo. Put.ear a toda comunidad que no sea zurda. El caso de Valencia con los afectados de las riadas es especialmente sangrante. Luego viene Andalucía. Y así, el autarca utiliza el dinero público, de todos (aparte de la M'opongo que dice lo contrario) para castigar a sus adversarios y beneficiar a los que le mantienen en el poder: separatistas (y terroristas no arrepentidos) vascos y catalanes.
Yaro|@observarlo #27 Cerrar El PP vive desquiciado, todo le sale mal, pero que eso se ha de ver en el otro, no en el PP. Un PP roto y con cuchilladas internas. El viernes pasado en Baleares lo vimos: se sometió a Vox. Vox lo desprecia y el PP traga, esa es la realidad. Y dentro hay cuchilladas. La pasada reunión en Valencia con otros partidos europeos que iba a ser apoteósica fue un horror, a Feijóo lo despreciaron por mediocre y a peor paseó allí las 228 muertes del PP en Valencia... ya lo echaban. Pero Feijóo siempre juega sucio (en Galicia se le conoce bien) y convoca el Congreso Nacional en el peor momento judicial para Ayuso. Furioso el PP de Madrid ya lo tiraba por la ventana pero raudo les entrega organizarlo todo para ganar tiempo¿ cuchilladas. A mayor mal LA INFLACIÓN EN ESPAÑA SIGUE BAJANDO, YA 1,9%, EL EMPLEO SUBE, BAJA EL PARO¿ Al PP todo le sale mal, no aporta nada a España, es frustración, mal rollo, viejuno. Pero eso sí, se afana en dar la vuelta a la realidad... con tanto periodista paniaguado. Puro relato, bulo de proporciones bíblicas palmeado por el pesebre que anda muy agitado estos días (no dan abasto intentando dar la impresión de que el sanchismo no es pura mafia y corrupción).
DolceBcn|@jgalesco #31 Cerrar El PP debería aprovechar la oportunidad y de verdad lanzar un ORDAGO real. Aliarse con JUNT y PNV y proponer elecciones constitucionales para crear un nuevo estado federal real en igualdad de condiciones para todas las autonomías con CUPO para todos y un sistema solidario de distribución, pero con independencia económica de todas las autonomías. El Estado central recibiría aportaciones proporcionales al PIB percapita de las autonomías y se encargaría del ejército, la política exterior y la política de solidaridad interregional. Es la única forma de mantener viva a España durante algunas décadas. La alternativa es claramente una dictadura colonial dentro de España que es a lo que se encamina el golpe de estado en marcha... buen resumen. Pero aquí no te lo compra nadie, es demasiado correcto.
55manu|@Equipe #23 Cerrar Inútilrs, acomplejados, los volverán a engañar. SALDRAN DE LA REUNION CON LA MISMA DEUDA, PERO CON 1000 MENAS MAS, CADA COMUNIDAD A REPARTIR, MUCHOS TIENEN 35 AÑOS PERO COMO SELES CLASIFICA COMO MENAS, NO PUEDEN TRABAJAR,PERO SI FUMAR,JODER Y ROBAR
55manu|@Wecant #33 Cerrar Para decirle mentiroso, cobarde e indecente sobran más de 9 minutos. SOLO CON UNA MIRADA PENETRANTE, SE LE DICE TODO EN 1 MINUTO.
ElHombredel Saco|Cantárselas en catalán, que es el único dialecto que entiende.
chicho_raro|Biba espana!!!!!
