Eyeblue|Si es lo que tienen los gobiernos comunistas bolivarianos que hacen subir la Bolsa.
juanatila|@Sekspir #18 Cerrar @ juanatila # 12 Que no te enteras juana. Profundiza un poquito y si puedes, piensa por ti misma otro poquito. Copio-pego de este mismo periódico: "El dinero vuelve a Europa: las bolsas reciben 110.000 millones de dólares del extranjero, el máximo de toda una década Los índices europeos que conquistan máximos se amontonan. El Ibex 35 bate los 14.300 puntos, en niveles de 2008; el Dax alemán, los 24.000 en una cifra para la historia". Los índices europeos, cuyos gobiernos en su mayoría no son precisamente socialista. Buff claro que me entero nenita, el que no se entera eres tú, el IBEX ( un índice muy bancario ) está fuerte por qué se están descontando unos buenos resultados (Record) y una proyección de país magnífico (renovables) el dinero solo vuelve cuando ve retornos interesantes, por cierto fíjate si me entero guapa que sumo a los 14400 los dividendos que se descuentan de la acción, tú no lo haces o bien por qué no te enteras o porque eres un intoxicados, 3x28 espero que sepas multiplicar nenita.
JFLK|@juanatila #37 Cerrar @ Pirulas3 # 29 Cuando no se tienen argumentos, que tonterías se escriben, esos pequeños vienen de unos países en la más completa miseria, se tienen que integrar en otro desde cero, aún así viven mucho mejor que en el suyo señor pirulas, venga leete el último informe de los bolcheviques de JP Morgan sobre la economía española y seguro que tus bilis siguen alteradas, tienes que entender que integrar miles de inmigrantes tiene estas contraindicaciones, pero da igual tú intenta hacer tu trabajo intoxicando que no sirve para nada. ... En países donde esos grandes patrocinadores de las ultraderechas colocan a los más corruptos gobernantes para seguir expoliando a gusto. De paso garantizar esas migraciones masivas que tanto ayudan a las ultraderechas...Esos récords de megabeneficios multimilmillonarios de esas grandes empresas del ibex y multinacionales, son a costa del consumo del resto. Peeeero no quieren pagar más impuestos ni mejorar las condiciones laborales ni subir salarios. Cuando el inútil de Sánchez le haga caso a Yolanda Díaz y se atreva a aplicar las políticas de máximos de beneficios empresariales que llevan décadas funcionando en la Europa del norte. Entonces igual se solucionarían muchos problemas.
juanatila|@Tomasone #16 Cerrar A ver rogelios, si vosotros sois unos pobres diablos que no tenéis acciones. Me puedo reír yo, que si las tengo. Tú eres un pobre diablo que se cree todavía que un rogelio es pobre y desinformado, sigue así no pares
juanatila|@_Exiliadofiscal #21 Cerrar La bolsa española sube gracias a los buenos rendimientos de sus empresas en el extranjeros, la mayoria bancos con buena presencia en EEUU, pero si miramos datos historicos del Ibex está al mismo nivel que hace 17 años atras, simplemente no se avanza nada en España. No me extraña que sea usted un exiliado fisca, no tiene ni pajolera de bolsa, el índice español tiene un dividendo medio por componente de más del 3%, han pasado 28 años aproximadamente desde máximos, simplemente haga una suma es muy fácil, aunque por su comentario, no creo que lo pille.
juanatila|@Pirulas3 #26 Cerrar @ uno_que_pasaba # 3 Es que no pueden ser más tontos. Ahora se alegran de que se forren los ricos a los que odian. Deberias hablar por ti, que tú vivas en la miseria o similar, no significa que los demás no solo no vivamos bien al igual que vecinos, familiares y amigos , cuando vas a Colón te pasas por el barrio de las letras a tomar algo? Yo si, y tengo que reservar siempre de lo atestado que está todo, compruébalo el día ocho, verás la miseria y lo tontos que somos los españoles que votamos al malvado Perro Sanxex
juanatila|@Pirulas3 #29 Cerrar @ juanatila # 12 Besos de los niños en riesgo de pobreza infantil. Y de los de la ELA. Ambos te desean lo mismo... Cuando no se tienen argumentos, que tonterías se escriben, esos pequeños vienen de unos países en la más completa miseria, se tienen que integrar en otro desde cero, aún así viven mucho mejor que en el suyo señor pirulas, venga leete el último informe de los bolcheviques de JP Morgan sobre la economía española y seguro que tus bilis siguen alteradas, tienes que entender que integrar miles de inmigrantes tiene estas contraindicaciones, pero da igual tú intenta hacer tu trabajo intoxicando que no sirve para nada.
vitone|@Tomasone #16 Cerrar A ver rogelios, si vosotros sois unos pobres diablos que no tenéis acciones. Me puedo reír yo, que si las tengo. dime de qué presumes... En tu pueblo te conocen como el paguitas
Quetevotetxapapote|Ojo a esto: Un segundo juzgado imputa a los autores de los 'protocolos de la vergüenza' del gobierno de Ayuso en las residencias. También están citados, por primera vez, el ex responsable de las ambulancias SUMMA 112 de la Comunidad de Madrid y la geriatra del hospital Severo Ochoa de Leganés. TIC, TAC, TIC, TAC,...
Yamuy|@jorgito88 #28 Cerrar No lo entiendo. Según El Mundo, Sánchez está llevado a España al cataclismo. Yo con cuarenta años cotizadas ha sido el año que mas he pagado a hacienda de la historia, a España no se si llevara al cataclismo pero a los cuatro que trabajamos sí.
JULES3|@Pirulas3 #29 Cerrar @ juanatila # 12 Besos de los niños en riesgo de pobreza infantil. Y de los de la ELA. Ambos te desean lo mismo... y los que tomais pirulas nada?,que malote eres pirulo :(
