Eyeblue|Si es lo que tienen los gobiernos comunistas bolivarianos que hacen subir la Bolsa.
Sekspir|@juanatila #12 Cerrar El IBEX en máximos,el crecimiento el empleo etc con datos excelentes, y los del PPvox haciendo el bobo en Colón, así está nuestro querido país por suerte para todos. Que no te enteras juana. Profundiza un poquito y si puedes, piensa por ti misma otro poquito. Copio-pego de este mismo periódico: "El dinero vuelve a Europa: las bolsas reciben 110.000 millones de dólares del extranjero, el máximo de toda una década Los índices europeos que conquistan máximos se amontonan. El Ibex 35 bate los 14.300 puntos, en niveles de 2008; el Dax alemán, los 24.000 en una cifra para la historia". Los índices europeos, cuyos gobiernos en su mayoría no son precisamente socialista.
YoOpinoAsi|Que tonto puede pensar que el dinero pueda entrar en el ibex si el país no genera confianza?
Tomasone|A ver rogelios, si vosotros sois unos pobres diablos que no tenéis acciones. Me puedo reír yo, que si las tengo.
Sekspir|Claro será por lo bien que lo está haciendo el gobierno, o será porque estamos en el vagón de un tren del que se han bajado casi todos los gobiernos socialistas. Véase en este mismo periódico: "El dinero vuelve a Europa: las bolsas reciben 110.000 millones de dólares del extranjero, el máximo de toda una década".. Para los que no se quieran dar por enterados, Europa, hablamos de Europa que así se llama el tren al que estamos enganchados.
AnonymousXXI|Menudo circo.
SerHumano|@AMG1 #9 Cerrar @ Eyeblue # 1 @ Lorne1 # 2 @ SerHumano # 4 Pero el malo de Trump no era el que iba a destruir las economías? Yo nunca he dicho eso para empezar.... Para continuar: ¿Es usted fan de Trump? No entiendo que pinta ese personaje en esto. Si lo intenta usted elogiar con esta noticia como excusa, aunque nada tenga que ver, sólo decirle que los aranceles con los que anda haciendo el payaso los tiene en suspenso por que patatas. TACO le llaman ahora... Trump Always Chickens Out
juanatila|El IBEX en máximos,el crecimiento el empleo etc con datos excelentes, y los del PPvox haciendo el bobo en Colón, así está nuestro querido país por suerte para todos.
Sekspir|@Quetevotetxapapote #10 Cerrar Si los empresarios tuvieran un poco de inteligencia, votarían sin dudar a Pedro Sánchez y lo recomendarían. Con él tenemos la mejor etapa económica de la Historia de España. Falso del todo. Si que es verdad que la euforia del turismo tras el COVID ha impactado favorablemente y de una forma especial en España, pero no se olvide del gasto público, que ese sí que está en la mejor etapa de la historia de España, del déficit público, que otro tanto de lo mismo y de la deuda pública que está por encima de las nubes y de la subida total de impuestos que está más allá aún. No caballero, no. No se confunda y sobre todo, no intente confundirnos.
Quetevotetxapapote|Si los empresarios tuvieran un poco de inteligencia, votarían sin dudar a Pedro Sánchez y lo recomendarían. Con él tenemos la mejor etapa económica de la Historia de España.
AMG1|@Eyeblue #1 Cerrar Si es lo que tienen los gobiernos comunistas bolivarianos que hacen subir la Bolsa. @Lorne1 #2 Cerrar Gracias, Pedro Sánchez. @SerHumano #4 Cerrar Que mal rato está pasando Feijoo... Otra manifestación mañana mismo!!! Esto hay que taparlo!!!! Pero el malo de Trump no era el que iba a destruir las economías?
N0RL|Enhorabuena España! Enhorabuena al mejor gobierno de la historia.
Editora|No decían que se desplomado? En qué quedamos? Ahora resulta que ha estado rompiendo máximos todos los días!
Stopfascismo|Nada es mentira tb. De quien depende el Ibex?... Pues eso. Jajajaja
LucioVoreno|Medio Trílex está chutado por el Amo con deuda pública para autopublireportaje.
SerHumano|Que mal rato está pasando Feijoo... Otra manifestación mañana mismo!!! Esto hay que taparlo!!!!
uno_que_pasaba|Los ricos más ricos ¿O no decía eso antes la izquierda? Pues por algún motivo los zurditos lo dan ahora como mérito del gobierno.
Lorne1|Gracias, Pedro Sánchez.
