Pato|Pues muy bien, la justicia es igual para todos.
Fegoms|@Durandal_Tycho #282 Cerrar @ Fegoms # 279 la diferencia está entre tú imaginación y un proceso judicial real por delitos fiscales entre otros. Que es de lo que se trata la noticia. Ya, pero hay que aprovechar la noticia para pedir que Ayuso sea califa en lugar del califa. En este diaro casi todos los comentarios repiten que Feijoo no tiene carisma, que no habla inglés y que no es suficientemente derechista. Resulta que en ese congreso se presenta como alternativa a Feijoo un tal J. Luis Bayo, al que no conoce casi nadie, y no se postula la figura más popular de los populares, que tiene el apoyo de Aznar, la Espe, Cayetana, Losantos y de millones de españoles de bien. Algo raro está pasando.
Blanco11|No tiene ninguna trascendencia que algún demente quiere darle.Es un novio de un político,además,ella no tiene nada que ver con las acusaciones,si hay algo,los jueces se harán su trabajo.Y si a AYUSO se le ocurre ,,romper,, con el,(por una temporada digamos ya no habrá más noticias.Yo,así lo haría.Y todos los rojos se subían por las paredes..
FOBIUS|Que dice Pedro que a esta juez hay que apoyarla Que no la critiquen Que dicen Feijoo y Ayuso que a esta juez si se le puede criticar sin que sea un ataque al poder judicial
alvaro1966|Eso es lo correcto en un estado de derecho. Si el Sr Amador ha cometido un delito tendrá q ser juzgado. Igual q tiene q ser procesado el fiscal general del estado. Aqui la a Sra Ayuso lo unico q se le puede decir es q vaya suerte q se enamorase de una persona q presuntamente ha cometido un delito. En el caso de la mujer del presidente, sele añade a los presuntos delitos la participacion de otras personas aprovechando sus posiciones en las instituciones, entre ellas la de la presidencia del gobierno con su marido a la cabeza. Eticamente imñresentable
Muroha|A ver si ahora habla el Gobierno y sus socios de Law Fare también...
_Placebo72|@Jjsusovick #285 Cerrar Sánchez respira un poco más, una jueza a la que Bolaños y el equipo sincronizado NO va a criticar por su actuación. Glez. Amador no está en nómina del PSOE. Qué pena que no sea un PPeinado, verdad?
ADELE_|@sindicalistas_marisqueros #274 Cerrar Adele ha entrado en éxtasis al conocer el procesamiento de Amador y ha tenido un squirt como una adolescente a pesar de ser una viejita decrépita, que tía más viciosa !!! Pues claro que algún día dejarás de ser virgen, deséalo fuerte y se cumplirá. Ah, y rabia, sigue rabiando, es bonito.
El_futuro_ya_paso|@messkal #216 Cerrar González Amador va p'alante. El desfile lo abrió el Mozart de Badajoz, después desfila Begoña "Cazadora de subvenciones" . Esperemos que la justicia sea igual para todos.
Ficherle|@Ma15 #278 Cerrar La juez socialista de nacho cano procesa a un particular, al que no conocía ni su padre. previa confesión del mismo acusado que se ha dejado llevar por MAR y le ha salido mal y mejor que se calle que Mar le dice a IDa que lo eche a la calle
Nordkapp71|@ADELE_ #276 Cerrar @ Nordkapp71 # 248 Los rojos ya no te dejan ni robar 350000 euros! Esto parece Venezuela, o Tordesillas, yo ya no sé. ¡A ver, Fresito, que ya viene tu orgullo, no te amontones!
Ficherle|Si no llega a ser el novio de Ayuso la Botelllines ,el juez lo acusaria de lo mismo
divide_y_venceras|De verdad: no existe un político incorrupto en este país? Me voy a volver Diógenes!
_Placebo72|@Zark_7 #277 Cerrar @ ADELE_ # 250 Efectivamente. El novio de Ayuso es un particular. Pagará como todos los defraudadores, y a otra cosa. En el caso Begoña están involucrados ella, Ábalos,Koldo, Aldama, varias empresas, una universidad y un estado extranjero. Será un particular pero de su fraude se beneficia la presidenta de Madrid porque esas casas y ese Maserati se han comprado con el dinero de dicho fraude.
Jjsusovick|Sánchez respira un poco más, una jueza a la que Bolaños y el equipo sincronizado NO va a criticar por su actuación. Glez. Amador no está en nómina del PSOE.
Nordkapp71|Odiando a los comunistas como los odio por motivos históricos y obvios, me cisco en el socialismo y sus adláteres a diario. Hoy es un día más en la oficina.
ADELE_|@Zark_7 #277 Cerrar @ ADELE_ # 250 Efectivamente. El novio de Ayuso es un particular. Pagará como todos los defraudadores, y a otra cosa. En el caso Begoña están involucrados ella, Ábalos,Koldo, Aldama, varias empresas, una universidad y un estado extranjero. Claro, porque a todos los particulares sale a defenderlos en pleno la Comunidad de Madrid. Y además robó simpático, un detalle que siempre se pasa por alto.
Durandal_Tycho|@Fegoms #279 Cerrar Del mismo modo que no se debiera mencionar a Ayuso por los asuntos de su novio, no se debiera nombrar a Sánchez por los asuntos de su esposa y de su hermano, ¿O no?. Hombre, hay que dejarse ya de rollos y lo que debería hacer Ayuso es presentar en este próximo congreso del PP su candidatura para reemplazar a Feijoo, que es lo que le piden los españoles de bien, y los primeros los 800.000 oyentes diarios de Losantos, que es su jefe de propaganda y redactor de sus discursos. Si Ayuso no se postula para ejercer la cuarta presidencia del PP en 7 años, que no está mal, y para echar a Sánchez de la Moncloa, es que ya no se puede creer en nadie. la diferencia está entre tú imaginación y un proceso judicial real por delitos fiscales entre otros. Que es de lo que se trata la noticia.
Vanesa|@moreno1984 #249 Cerrar cabe recordar que el que ahora es novio de Ayuso cuando cometió el delito no era su pareja. Lo digo por si a alguno se le ocurre compararla con la esposa del presidente del Gobierno, Begoña Gómez. no encontró mejor novio que un defraudador, nuestra presidenta, esa que queréis que sea presidenta de España.
Vanesa|Entre esposas y novios tenemos las presidencias guapas en España. En fin...
Fegoms|Del mismo modo que no se debiera mencionar a Ayuso por los asuntos de su novio, no se debiera nombrar a Sánchez por los asuntos de su esposa y de su hermano, ¿O no?. Hombre, hay que dejarse ya de rollos y lo que debería hacer Ayuso es presentar en este próximo congreso del PP su candidatura para reemplazar a Feijoo, que es lo que le piden los españoles de bien, y los primeros los 800.000 oyentes diarios de Losantos, que es su jefe de propaganda y redactor de sus discursos. Si Ayuso no se postula para ejercer la cuarta presidencia del PP en 7 años, que no está mal, y para echar a Sánchez de la Moncloa, es que ya no se puede creer en nadie.
Ma15|La juez socialista de nacho cano procesa a un particular, al que no conocía ni su padre.
Zark_7|@ADELE_ #250 Cerrar Y ahora imagínense el tamaño del titular si la procesada fuese Begoña. No cabría en la pantalla de sus ordenadores. Efectivamente. El novio de Ayuso es un particular. Pagará como todos los defraudadores, y a otra cosa. En el caso Begoña están involucrados ella, Ábalos,Koldo, Aldama, varias empresas, una universidad y un estado extranjero.
ADELE_|@Nordkapp71 #248 Cerrar Han escogido a la juez de Zapatero para sentarle en banquillo; la misma ilustre juez que imputó a Nacho Cano. ¡Son una banda! Los rojos ya no te dejan ni robar 350000 euros! Esto parece Venezuela, o Tordesillas, yo ya no sé.
ADELE_|@moreno1984 #249 Cerrar cabe recordar que el que ahora es novio de Ayuso cuando cometió el delito no era su pareja. Lo digo por si a alguno se le ocurre compararla con la esposa del presidente del Gobierno, Begoña Gómez. Cabe recordar que el delito se cometió en 2021, cuando ya eran pareja. Pero fue un fraude fiscal con galletita crujiente, de eso nunca se habla.
sindicalistas_marisqueros|Adele ha entrado en éxtasis al conocer el procesamiento de Amador y ha tenido un squirt como una adolescente a pesar de ser una viejita decrépita, que tía más viciosa !!!
doctornoestamosolos|@Hachedos0 #263 Cerrar ¡Huy, huy... qué titular más pequeñito... y en una columnita lateral! Vete a elpais y veras que no sale absolutamente nada del hermano de Pedro, de los audios, de Gallardó¿.NADA¡¡¡
Hatefachis|@Talamonio #224 Cerrar @ ADELE_ # 130 , Sánchez no ganó las lecciones de 2023, pero usted repite la mentira una y otra vez y contestarle ya da pereza. Sabe tan bien como yo que las ganó Feijoo y el Psoe se unió a toda la morralla de separatistas y antisistema para sumar una mayoría falaz de gobierno. Esta aclaración, evidentemente, no va para usted. Va por si todavía queda algún despistado es estos foros que le haga caso. UyUyUy un pobriño analfabeto que no sabe como funciona el sistema parlamentario español, que grande le queda a algunos la democracia,la detestan
Hatefachis|Como le quedará el traje de presidiario al pelucas? Deseando ver la foto
ADELE_|@Ras #252 Cerrar @ 228dead # 9 a ver zurdo, ése señor es un particular de los muchos que fueron encausados y después hacienda se la encarnó, léase, XAVI ALONSO Y Xavi Alonso también vivía con Ayuso en un piso comprado con dinero robado a todos los españoles? Pues muy mal. Frutona tictac, Ras.
Madison|@N0RL #2 Cerrar Palante y eso que no es de Alicante. Al banquillo por defraudador y además Confeso. Y a correr a comentar que esta noticia desaparece en breve. Ahora veremos si Marichús y el fiscal general del estado filtran la noticia y convocan rueda de prensa para denunciar el fraude que cometen miles de españoles anónimos cada año. Eso sería lo justo para que nadie piense que todo esto ha sido una maniobra política para intentar hundir a Isabel Díaz Ayuso. Ay no, que eso es lo que realmente ha pasado, que cosas,....
andoni1988|@N0RL #221 Cerrar @ andoni1988 # 191 verás tú la pieza separada lo que va a dar de sí. Espera no imputen a F Camino el Presidente de Quirón prevención. no se preocupe encontrarsn un juez independiente de esoss de franco santo y señor
ADELE_|@Con_tres_000 #214 Cerrar @ Havane # 198 Aguirre era fea. Y aún sigue siéndolo. Aunque no tanto como Manolita Carmena. Ya quisieran ser tan guapas como tú. ¿Te siguen llamando "La momia calva" en el barrio?
Dugger|Soy de centro derecha y me encanta Ayuso, pero si su novio es culpable tendrá que pagarlo, al igual que todos los del PSOE, Podemos, CIU, ERC ni indultos ni aforamientos, el que la hace que la pague SIN EXCEPCIÓN.
Edgar16|Que cunda el ejemplo y que Abalos y compañía siga la misma hoja de ruta.
ADELE_|@El_futuro_ya_paso #238 Cerrar Y la captadora de fondos qué... otra vez en República Dominicana ¿no? La noticia, El futuro, la noticia.
Hachedos0|¡Huy, huy... qué titular más pequeñito... y en una columnita lateral!
Blanco11|@Lorne1 #199 Cerrar Todos los que piden la dimisión de Sánchez (con razón) también pedirá la de Ayuso....hay que ser coherentes. A CALLAR!! LA PRESIDENTA,NO SE TOCA, COMUNISTAS!!
andoni1988|@Pedro314 #244 Cerrar @ atarrabia # 177 Tú sabes que esto de hoy no es la sentencia, ¿verdad? Y que, por tanto, decir "por fin sale a la luz su culpabilidad" es una sandez, ¿verdad? Y que incluso aunque fuera una sentencia condenatoria para el novio, el que sería culpable es él, que es a quien juzgan, y no ella. tu sabes que este señor se ha hecho rico con la muerte en plena pandemia........pues solo por eso deberias tener la etica de defender a este elemento
ADELE_|ÚLTIMA HORA El PP de Madrid ya tiene sustituta para Ayuso: Dakota de "Hermano mayor". "Buscamos un perfil similar".
ADELE_|@Ok3 #225 Cerrar @ ADELE_ # 185 Adela, Otra vez haciendo horas extras....??? Te vas a forrar!!! Sí, tu rabia me gusta mucho. Es dulce y me hace reír. Gracias.
LazaroGonzalez|Otro, cuanto más tienen menos peor, que apechugue y pague lo que tenga que pagar.
ADELE_|@pepote25 #239 Cerrar @ ADELE_ # 211 Creo que un día la anciana decrépita casi tuvo un novio pero la dejó a los dos minutos ,se va a morir sin catar nada Pero después esa vieja decrépita se casó con un alcohólico de Logroño, no? Pobre mujer.
Ras|@ADELE_ #58 Cerrar @ Fractal # 36 Recuerde que eso es mentira. Amador cometió el fraude fiscal en 2021, cuando ya salía con Ayuso. Y ella mintió a todos los españoles diciendo que no había fraude fiscal alguno. la Excma Señora Presidenta Ayuso, dio una opinión sobre un supuesto hecho ilícito, lo mismo que hizo el mafioso de su pichona
dhbi|@Talamonio #224 Cerrar @ ADELE_ # 130 , Sánchez no ganó las lecciones de 2023, pero usted repite la mentira una y otra vez y contestarle ya da pereza. Sabe tan bien como yo que las ganó Feijoo y el Psoe se unió a toda la morralla de separatistas y antisistema para sumar una mayoría falaz de gobierno. Esta aclaración, evidentemente, no va para usted. Va por si todavía queda algún despistado es estos foros que le haga caso. efectivamente no ganó en número de votos , pero la ley electoral dice que gobierna quien consigue x apoyos y él lo consiguió , con quien lo consiguió ? Con el apoyo de otros que estaban legitimados para presentarse y sumaron lo necesario . Por lo tanto es el presidente por derecho . Otra cosa es que no os guste la ley electoral ni ciertos candidatos, pero a mí tampoco me gustan otros que ganaran en un futuro y no por ello deslegitimaré a ese presidente , me aguantaré como he tenido que aguantar en el pasado .
pepepelotas|@Lorne1 #232 Cerrar A este señor supongo que ya le habrán embargado el piso y el coche, como a cualquier español, para poder cobrar hacienda.....o ni siquiera los tiene a su nombre?? Va ser que es insolvente. Si no fuese el novio de, ni visitaría al juez.
Blanco11|Y ahora,si sale la Presidenta decir que es una ,,caza,, hacia ella,y que la decisión d ella jueza,es un ,, abuso de poder,, que pasaría? hablar, hablar ROJOS..... Mentirosos, ELECCIONES YA!!!!!!
Ras|@228dead #9 Cerrar esta noticia hay que reducirla un poco más y con letras mas pequeñas y borrosas pero sobre todo cambiar el titular para que diga, la jueza se ha vuelto loca y no se cree la verdad de que la frutera y su noviete choricete todo lo hacen bien y por España a ver zurdo, ése señor es un particular de los muchos que fueron encausados y después hacienda se la encarnó, léase, XAVI ALONSO
jaumequalsevol|Ayuso está caducada. Hizo suyo desde su cátedra de presidenta un caso comprobado de corrupción de su pareja y debe asumir como propias las responsabilidades. ¡Dimisión ya!
ADELE_|Y ahora imagínense el tamaño del titular si la procesada fuese Begoña. No cabría en la pantalla de sus ordenadores.
moreno1984|cabe recordar que el que ahora es novio de Ayuso cuando cometió el delito no era su pareja. Lo digo por si a alguno se le ocurre compararla con la esposa del presidente del Gobierno, Begoña Gómez.
Nordkapp71|Han escogido a la juez de Zapatero para sentarle en banquillo; la misma ilustre juez que imputó a Nacho Cano. ¡Son una banda!
JR89|La noticia bien oculta ,como corresponde al inMundo, el sr Casado tenía razón , la señora Ayuso S.L vive rodeada de corrupción
MalditosRoedores|@Freestyler #233 Cerrar Bien entiendo que despues de las continuas mentiras de Isabel Diaz Ayuso culpando a la izquierda de meterse con su novio, es hora de que Ayuso dimita por coherencia politica? Ademas de mentir, lleva ya mas de 1 año viviendo en un atico de lujo pagado con comisiones fraudulentas de su novio, ademas beneficienadose de la venta de mascarillas en lo peor de la pandemia. DIMISION Y ELECCIONES! Todo lo que dices es mentira. Ayuso no es responsable de lo que haga o no haga Gonzalez Amador; vosotros los zurdos enseguida condenáis, falta mucho para que llegue la sentencia firme, que puede ser absolutoria o se anula el proceso por indefensión; no hay comisiones fraudulentas, no se enjuicia nada de eso, la venta de mascarillas no es ilegal; si es un fraude las mascarillas defectuosas que pagó la separatista de Corrupsoe, Armengol, la que trataba con Koldo.
000|@Freestyler #233 Cerrar Bien entiendo que despues de las continuas mentiras de Isabel Diaz Ayuso culpando a la izquierda de meterse con su novio, es hora de que Ayuso dimita por coherencia politica? Ademas de mentir, lleva ya mas de 1 año viviendo en un atico de lujo pagado con comisiones fraudulentas de su novio, ademas beneficienadose de la venta de mascarillas en lo peor de la pandemia. DIMISION Y ELECCIONES! Es todo bulo fango y ultraizquierda, la culpa es de Pedro sanchez y su familia, que son todos unos corruptos. aplicate tu propia medicina amigo.
Pedro314|@atarrabia #177 Cerrar Señora Ayuso y ahora que ?, tanta mentira que nos has contado respecto a su novio y por fin sale a la luz, su culpabilidad y respecto a su forma de ser, es preocupante, solo defiende al poderoso y es incapaz de solidarse con los que sufren y se alía con Trump, Netanyahu, Milei y se olvida del genocidio de Palestina, de los muertos en las residencias de ancianos muertos, no tiene ni conciencia ni corazón y luego dirá que es cristiana y católica, mala persona, solo busca el poder. Tú sabes que esto de hoy no es la sentencia, ¿verdad? Y que, por tanto, decir "por fin sale a la luz su culpabilidad" es una sandez, ¿verdad? Y que incluso aunque fuera una sentencia condenatoria para el novio, el que sería culpable es él, que es a quien juzgan, y no ella.
ADELE_|@Con_tres_000 #208 Cerrar @ ADELE_ # 166 Relájese Cacerola, le van a llamar la rabiosa. Las argucias judiciales utilizando el mote : "novio de... " no impedirán que Isabelita siga en el trono hasta 2031. Dedíquese a las tildes, que es lo suyo. Si me he olvidado de alguna, hágamelo saber. Hay un poco de comentario en su rabia, señor. Cálmese.
FChu|@Mdvm #220 Cerrar A la novia cadáver la veremos en un vis a vis con el ciudadano particular en la cárcel Volverá a ganar por mayoría absoluta. Madrid ya fue, y volverá a ser , donde MUERE EL COMUNISMO
FChu|Sánchez a prisión
Pedro314|@Juanfelipe #21 Cerrar Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual Sí cabe otra, separarse de esa persona. Y aunque la derecha pidiera eso, seguiría estando mal pedido: si de verdad Sánchez o Ayuso han sido engañados por sus parejas corruptas y no han formado parte del delito para nada, no tienen por qué dimitir.
pepote25|@ADELE_ #211 Cerrar ÚLTIMA HORA Ayuso nos presenta a su nuevo novio, Dioni el del furgón: "Yo qué sé, me gustan así". Creo que un día la anciana decrépita casi tuvo un novio pero la dejó a los dos minutos ,se va a morir sin catar nada
El_futuro_ya_paso|Y la captadora de fondos qué... otra vez en República Dominicana ¿no?
Jacobino|@Andando #196 Cerrar Esto sí compromete a Ayuso. Si sigue al lado de un procesado por la Justicia, estará lanzando un mensaje diáfano. Debe elegir entre el amor (¿ciego?) o su imagen personal. ¿Quién dijo que la vida de una política, en este caso, es fácil? Si ella es la que esta detrás utiliza a gente de su entorno.
in99|Eso sí es degradación
ADELE_|@Zark_7 #230 Cerrar Lo importante es que parece que se acerca el final de Sánchez y su banda... Exacto. Lo importante son tus sueños, no la realidad. Muy PP.
Astronauta|Ayuso visitando a su novio en la cárcel, es la nueva Pantoja, la novia de España.
Freestyler|Bien entiendo que despues de las continuas mentiras de Isabel Diaz Ayuso culpando a la izquierda de meterse con su novio, es hora de que Ayuso dimita por coherencia politica? Ademas de mentir, lleva ya mas de 1 año viviendo en un atico de lujo pagado con comisiones fraudulentas de su novio, ademas beneficienadose de la venta de mascarillas en lo peor de la pandemia. DIMISION Y ELECCIONES!
Lorne1|A este señor supongo que ya le habrán embargado el piso y el coche, como a cualquier español, para poder cobrar hacienda.....o ni siquiera los tiene a su nombre?? Va ser que es insolvente.
chusita444|@Havane #219 Cerrar @ chusita444 # 12 cuándo hace algo ilícito. Por el momento no ha hecho nada de esto. y porque la estan investigando ?????? explicamelo si es que puedes
Zark_7|Lo importante es que parece que se acerca el final de Sánchez y su banda...
cmr102|P'alante
MalditosRoedores|@Zazx #181 Cerrar Vamos que todo el caso es por si se dedujo unas facturas que no debía deducirse. Tanto jaleo para algo que se sustancia con una multa. Ese es el problema, Maxim Huerta, Wyoming, el PSOE han tenido el mismo problema, se les ha puesto una multa y se terminó. Aquí parece que haya cometido un crimen. De todas las maneras si esto prospera es un palo para la justicia, porque se genera una indefensión total como el gobierno quiera ir a por ti. No es solo una multa, puede ser peor: `En España, un delito fiscal puede acarrear penas de prisión que van de 1 a 5 años, y multas que pueden llegar hasta seis veces la cantidad defraudada. Este delito se considera cuando la cuantía defraudada supera los 120.000 euros en un solo ejercicio fiscal' . Si es cierto que en España una condena a mas 2 años es carcel significa que corre ese peligro. Otra cosa es que sea condenado, eso sí, son años de pleitos, mucho dinero en abogados; porque el acuerdo previo al juicio está descartado por órdenes de arriba. También está pendiente la ilegalidad de la revelación de estos asuntos como acabará.
Tomasone|Los rogelios hoy contentos con esto La suyo son minucias
Foxbury|@Con_tres_000 #209 Cerrar @ noos # 183 Barrabás 1961. Dirigida por Richard Fleischer e interpretada por Anthony Quinn. Excelente película. injustamente olvidada.
Ok3|@ADELE_ #185 Cerrar @ Ok3 # 164 El que se forró fue Amador. Claro, es que defraudar a Hacienda ahorra mucho. Adela, Otra vez haciendo horas extras....??? Te vas a forrar!!!
Talamonio|@ADELE_ #130 Cerrar @ PTdP # 109 Sí, todos sabemos que el único delito que ha cometido Begoña es estar casada con el ganador de las elecciones de 2023. , Sánchez no ganó las lecciones de 2023, pero usted repite la mentira una y otra vez y contestarle ya da pereza. Sabe tan bien como yo que las ganó Feijoo y el Psoe se unió a toda la morralla de separatistas y antisistema para sumar una mayoría falaz de gobierno. Esta aclaración, evidentemente, no va para usted. Va por si todavía queda algún despistado es estos foros que le haga caso.
Tomasone|@Havane #203 Cerrar @ Detergente # 38 todo lo que dice es Falso, ya estaban juntos cuándo defraudó. Los datos son los datos. Y que sepamos no hay ninguna condena de Begoña Sánchez o el Hermano de Sánchez. Ni de este tampoco
Tomasone|@228dead #204 Cerrar el sistema central y corazón de la maquinaria del fango del ppvx se llama ayuso y sus gorilas, que la defienden como los zánganos a la reina abeja, y ahí es donde hay que dar duro porque esta señora no solo se beneficia de los fraudes de su pareja sino que fue ella la que le dio a su propio hermano y al alberto quirón las comisiones por compra de mascarillas durante lo peor de la pandemia y la que firmó los protocolos de la vergüenza, por eso esta señora no debería seguir por ser socia necesaria de un delincuente confeso y sus delitos Ya te dije el otro dia que tu carnet del partido te invalida pata segun que cosas Ah, y cambiate el nick a 130000deadpor Sánchez
N0RL|@andoni1988 #191 Cerrar @ N0RL # 147 ergo cuando vende a quiron prodcutos que luego paga la CM ¿ES CORRUPCION? verás tú la pieza separada lo que va a dar de sí. Espera no imputen a F Camino el Presidente de Quirón prevención.
Mdvm|A la novia cadáver la veremos en un vis a vis con el ciudadano particular en la cárcel
Havane|@chusita444 #12 Cerrar y para cuando la pichona cuándo hace algo ilícito. Por el momento no ha hecho nada de esto.
Babia|Pobre paisano.
Utopilitologo|Pululan golfos por el foro, defendiendo a un delincuente. "Dime a quien defiendes y te diré quien eres": Sub campeones, aclamando al defraudador. No se puede ser más tirado.
messkal|González Amador va p'alante.
PabloLibre|Bien abajo la noticia, a ver si pasamos por encima
Con_tres_000|@Havane #198 Cerrar @ Con_tres_000 # 17 pues parece que a las siguientes, le pasará a Ayuso lo mismo que Aguirre. Ya van destapandose algunas affaires. Aguirre era fea. Y aún sigue siéndolo. Aunque no tanto como Manolita Carmena.
Jacobino|OOOOhhhhh,la noticia del día ,que tenga cuidado Sánchez Amador que falso testimonio es también delito y si va sumando condenas lo mismo tiene que visitar la "Casa Grande".
chilper463274_24|@Lorne1 #199 Cerrar Todos los que piden la dimisión de Sánchez (con razón) también pedirá la de Ayuso....hay que ser coherentes. No sé porqué habría que pedir la dimisión de Ayuso por algo de lo que ella no tiene nada que ver( ahora resulta que si tu novio defrauda sin tu saberlo casi tienes que ir a prisión jajaj). La dimisión de Sánchez más bien porque enchufó a su mujer en todos sus trabajos, sabía de sus reuniones extrañas en Moncloa con los de air Europa haciendo supuestos negocios, lo de Leire Díaz no sabemos si el lo sabía.. No veo que tenga que ver un caso con el otro.
ADELE_|ÚLTIMA HORA Ayuso nos presenta a su nuevo novio, Dioni el del furgón: "Yo qué sé, me gustan así".
Lorne1|Por favor, la basura del PP ponga la en portada como hacen con el resto. Gracias.
Con_tres_000|@noos #183 Cerrar @ Con_tres_000 # 159 ... pues tú lo eXplicas mejor que como en la bilblia!!!! ... a quién queréis ... a quién???? ... a barrabás!!! ... a barrabás!!! ...muchas gracias 3 co ones¿? Barrabás 1961. Dirigida por Richard Fleischer e interpretada por Anthony Quinn. Excelente película.
Con_tres_000|@ADELE_ #166 Cerrar @ Con_tres_000 # 159 ¡Esta jueza está loca! El novio de Ayuso robó a todos los españoles de una forma muy bonita. Relájese Cacerola, le van a llamar la rabiosa. Las argucias judiciales utilizando el mote : "novio de... " no impedirán que Isabelita siga en el trono hasta 2031. Dedíquese a las tildes, que es lo suyo. Si me he olvidado de alguna, hágamelo saber.
Lugh60|Por fin se empieza a llamar a las cosas por su nombre. No cuesta tanto ser periodista y dejar el carné del partido guardado, en esta acera y en la de enfrente...
ADELE_|Feijóo comenta la noticia: "Yo choi prechidente prechidente!!!". Ni se ha enterado.
MalditaPandemia|@rafatoni #137 Cerrar @ MalditaPandemia # 112 , el ejercicio es el 2020 aunque se liquide en 2021 y es un impuesto estatal donde IDA no tiene ninguna influencia. si, pero ya eran pareja, que a mi me da igual, pero que no se diga lo contrario
228dead|el sistema central y corazón de la maquinaria del fango del ppvx se llama ayuso y sus gorilas, que la defienden como los zánganos a la reina abeja, y ahí es donde hay que dar duro porque esta señora no solo se beneficia de los fraudes de su pareja sino que fue ella la que le dio a su propio hermano y al alberto quirón las comisiones por compra de mascarillas durante lo peor de la pandemia y la que firmó los protocolos de la vergüenza, por eso esta señora no debería seguir por ser socia necesaria de un delincuente confeso y sus delitos
Havane|@Detergente #38 Cerrar En este caso en que el presunto delito se cometió antes que el imputado conociera a l Ayuso no tiene nada que ver con eltrafico de influencias, malversación y prevaricación de María Begoñs y el Hermanisimo. todo lo que dice es Falso, ya estaban juntos cuándo defraudó. Los datos son los datos. Y que sepamos no hay ninguna condena de Begoña Sánchez o el Hermano de Sánchez.
CVB72|A todos los defraudadores a por ellos. Digo a todos, pues parece que este es objetivo pero no dicen nada de los que van vestidos de rojo¿.
MalditaPandemia|@kaiba #174 Cerrar Sabe que es INTOCABLE...nada que temer ....lean Google... Ayuso y avalmadrid.... presuntamente el padre de Ayuso no devolvió préstamo de 300.000 paso pisos a sus hijos y se declaró Insolvente....todos periodistas lo publicaron Asi es, para evitar que le embargaran los bienes con los que habia avalado el prestamo, el padre de ayuso les dono los dos inmuebles a sus hijos y se declaró insolvente. Toda una lección de clase y honor de los ayuso. Eso no lo veras publicado en este medio. A dia de hoy la deuda sigue vigente y aumentando por gastos de demora, y luego la presi quiere ir dando lecciones al resto.
Stopfascismo|Supongo q se pedirá con la misma vehemencia desde el PP la dimisión de Ayuso no?. Por mentir además saliendo a decir q hacienda le debía dinero a su pareja
Lorne1|Todos los que piden la dimisión de Sánchez (con razón) también pedirá la de Ayuso....hay que ser coherentes.
Havane|@Con_tres_000 #17 Cerrar El rojerío tendrá que seguir aguantándose con Isabelita hasta 2027, por mucho que procesen al novio. Y en el 2027 volverá a ganar. Esperen un momento, soy un tarugo que cuenta con los dedos... ... ... en el 2031 que lo intenten otra vez. pues parece que a las siguientes, le pasará a Ayuso lo mismo que Aguirre. Ya van destapandose algunas affaires.
Utopilitologo|Francisco Martínez, espera ansioso la compañía de Alberto Quiron.
Andando|Esto sí compromete a Ayuso. Si sigue al lado de un procesado por la Justicia, estará lanzando un mensaje diáfano. Debe elegir entre el amor (¿ciego?) o su imagen personal. ¿Quién dijo que la vida de una política, en este caso, es fácil?
Franky1973|¿Y que tiene que decir la señora ayuso de esto? No dirá nada como siempre, esta ocupada acusando a pedro Sánchez.
Zark_7|@atarrabia #177 Cerrar Señora Ayuso y ahora que ?, tanta mentira que nos has contado respecto a su novio y por fin sale a la luz, su culpabilidad y respecto a su forma de ser, es preocupante, solo defiende al poderoso y es incapaz de solidarse con los que sufren y se alía con Trump, Netanyahu, Milei y se olvida del genocidio de Palestina, de los muertos en las residencias de ancianos muertos, no tiene ni conciencia ni corazón y luego dirá que es cristiana y católica, mala persona, solo busca el poder. Culpabilidad? Sabes lo que significa "imputado"? Lee.
ADELE_|@000 #157 Cerrar @ 228dead # 9 Eso es lo que diriais en caso de ser alguno de vuestra calaña: el juez es un fascista y no se cree que la Begoño y su maridito son unos progresistas que lo hacen todo por España. Para los ciudadanos normales es igual quien sea, para todos la misma vara de medir. A ver si algun dia entendeis esto, por el bien de todos. Qué sucio es lo de Begoño. Pero bueno, los perdedores son así, rabiosos que defienden un fraude fiscal. Odian España.
andoni1988|@Madison #143 Cerrar @ ADELE_ # 77 Nos alegramos de que pague pero no de que Sánchez utiluce al fiscal general del estado para sacar a relucir los asuntos particulares de un ciudadano anónimo, simplemente por ser la pareja actual de Ayuso. Ese delito es el que no se puede apoyar. Hay otras cuatro perdonas implicadas en este asunto y cientos de españoles reciben notificaciines de Hacienda cada año por defraudar. ¿Por qué el unico caso en el que se ha metido el fiscal, Marichus, Lobato y demás ha dido el de este señor? El motivo lo sabe usted y lo se yo. El gobierno y su equipo de fontaneros hacienfo de las suyas. utilize el fiscal? si se ha demostrado lo contrario,,si el FGE es encausado con la pruebas que hay ahora,,,tienen que denunciar al juez y no aceptar su autoridad
