umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
ADELE_|@Amarra #459 Cerrar @ ANNEMANN # 439 Es usted nuevo por aquí?? El bicho este tiene un nick para cada ocasión. Y "el bicho este" os da sopas con honda a todos los franquistas, dato importante que se le ha olvidado.
WILLY_NILLY|@tienesrazon #443 Cerrar Nunca se había visto a un Gobierno atacar así a la Justicia. La UE debería tomar cartas en el asunto, no puede permitir que en una supuesta democracia dentro de la UE el Ejecutivo ataque e insulte al Judicial. Por menos sancionaron a algún país del este. Con Sánchez son tantas las cosas que nunca habían pasado en una democracia, y ninguna buena. No espere nada de la UE ... Está practicando la política del avestruz con España por cada caso de mafia y corrupción que sale en los medios...No sé para qué queremos seguir en una CE que calla ante tan mayúsculos escándalos políticos con el gobierno de uno de sus miembros...
HomerJaySimpson|Me da igual, seguire votando a Sánchez, es lo menos malo.
tienesrazon|@Novale #437 Cerrar @ Pppa # 429 totalmente de acuerdo, este tipo d cosas es lo que hace ganar votos al psoe ¿¿ jajajaja, sí sí claro, el ser corruptos le da votos al PSOE, pues madre mía, en las próximas elecciones no bajáis de los 300 diputados.
ElNolano|El fiscal general en el banquillo. Se llama democracia progresista.
Loren60|@Segistobre #450 Cerrar Hace unas semanas el líder de Manos Limpias adelantó lo que iba a hacer este juez. No es arriesgado pensar que el juez Hurtado tenía la decisión tomada antes de empezar a investigar y la falta de pruebas no le ha supuesto un problema para seguir adelante. lo sabía mania limpias y todos los Españoles que están sin venda en los ojos. También los que no tienen venda sabían lo que pasaría Abalos y sus amigas. Koldo y sus mascarillas, Gallardo y su amiguito, Begoña y sus master. Leire y su empresa de fontanería, etc y lo que queda. Quitate la venda, hombre. Que mas tiene que pasar por que veas algo
Epicnow|Shhhhh! No filtréis esto que viene el Supremo: "Cospedal a Villarejo: <>"
El_futuro_ya_paso|@Casilda #324 Cerrar @ El_futuro_ya_paso # 257 se repite usted como el ajo ..se nota su edad , cuídese . Si le quita usted la parte central al ajo, no se repite.
El_futuro_ya_paso|Tranquilidad @ADELE_ #442 Cerrar @ jinetes123 # 431 Qué insinúa usted, que lo de Begoña no va pa'lante? Es usted rojo? , todo sigue su curso y su orden. El mozart de Almedralejo ya está en capilla, Don Alvarone ya está en camino... no se preocupe por Bego, de momento se está cocinando a fuego lento.
Pirulas3|@Segistobre #450 Cerrar Hace unas semanas el líder de Manos Limpias adelantó lo que iba a hacer este juez. No es arriesgado pensar que el juez Hurtado tenía la decisión tomada antes de empezar a investigar y la falta de pruebas no le ha supuesto un problema para seguir adelante. ¿Qué tal por Almería, Segis?
ADELE_|@ANNEMANN #439 Cerrar @ ADELE_ # 377 . No sé quién diablos es usted, ni me interesa. Pero lo que queda claro es que es una pagada por el PSoe para incidir en las redes, pues una persona normal, sin sueldo, no da tanto la tabarra con el mismo tema y misma tendencia que usted. Cambie de nick o déjenos ya en paz, por favor. Pues claro, todos los que no piensan como usted están pagados por el PSOE, Anne. Qué demócrata es usted, qué barbaridad.
El_futuro_ya_paso|La que está de celebración es Dolores Delgado, de la que se ha librado.
ntl|@_Placebo72 #440 Cerrar @ ntl # 421 Usted está segura que el PP quería un CGPJ independiente, Sra? Es tan ilusa que piensa que va a cambiar un sistema que siempre les ha beneficiado cuando han gobernado? En serio? ¿La tesis es que se volvieron a repartir el CGPJ porque el PP en realidad no quería cambiar el sistema? ¿El mantra gubernamental de que el que "la Justicia emana del pueblo" significa que los partidos tienen que nombrar a los jueces era por los loles?
Montecristo68|@Babia #414 Cerrar El Partido Judicial, añorando el franquismo, como Esperanza Aguirre y Aznar. La Tontería de las 14:44 no falla
ElequipoA|@Hispano1059 #422 Cerrar Este pájaro y el novio de la reina de Madrid, los dos caminito de Belén, uno por mafioso y el otro por chorizo, compartiendo celda en Alcala- Meco, conociéndose y al final haciéndose amigos. NO LO VEREMOS, ambos se irán de rositas... Pues tiene usted razón, no habría mejor pena para ambos que tuvieran que cumplir en la misma celda.
ADELE_|@El_futuro_ya_paso #449 Cerrar @ Casilda # 369 Pues crealo. "Crealo" no, "Créalo". Y no ponga de excusa que es usted andaluz, allá abajo también hay gente muy culta.
Segistobre|La realidad es esta: La pareja de Ayuso defraudó 350.951 euros a Hacienda con una trama de facturas falsas y empresas pantalla y cobró dos millones de euros en comisiones por contratos de mascarillas. Ayuso salió en su defensa diciendo que era inocente y mintió porque su pareja ya había reconocido su delito, llegando incluso a decir que era Hacienda la que debía 600.000 euros a su novio. El Fiscal desmintió ese bulo cuando ya se habían filtrado a la prensa los correos. Lo de las filtraciones no da la razón a Ayuso ni anula ni minimiza el delito de fraude.
Amarra|@ANNEMANN #439 Cerrar @ ADELE_ # 377 . No sé quién diablos es usted, ni me interesa. Pero lo que queda claro es que es una pagada por el PSoe para incidir en las redes, pues una persona normal, sin sueldo, no da tanto la tabarra con el mismo tema y misma tendencia que usted. Cambie de nick o déjenos ya en paz, por favor. Es usted nuevo por aquí?? El bicho este tiene un nick para cada ocasión.
mediokilo|Miserables socialistas y socios, ni honor ni honradez ni dignidad .
Segistobre|Feijóo pide con urgencia un adelanto electoral porque se está oliendo que los casos fake del FGE y los del hermano y de la mujer de Pedro Sánchez se están desinflando. Ya se sabe que el PP no tiene ninguna propuesta alternativa para España; solo se sirve del ruido mediático creado artificialmente con los medios y los jueces amigos.
PTdP|Y ahora qué? Sánchez eres una vergüenza de presidente manteniendo a este individuo al frente de la fiscalía. Pero ya eras una vergüenza y has traspasado todas las líneas rojas que, en su día, exigías a otros
BladeRunner1|Le ha caído la del pulpo al García Ortiz. Ya le estarán preparando una puerta giratoria. La marronada hasta los topes...en Spain.
Segistobre|El PP ya celebró ayer su manifestación en la que quedó patente que Feijóo ha tocado techo, lo que quedó patente por el fracaso en el número de asistentes. El PP ya ha celebrado 6 manifestaciones en 2 años. Esa estrategia ya está amortizada. ¿Y ahora qué? ¿Qué ha cambiado? Pues ahora, como la concentración fue un fracaso, volvemos a los casos fake del FGE y los de la mujer y el hermano de Pedro Sánchez.
ADELE_|Qué raro lo cuentan en otros medios, no me gusta: "El juez procesa al fiscal general por la filtración del correo de la pareja de Ayuso y le acusa SIN PRUEBAS de seguir Instrucciones de Moncloa". Las mayúsculas son mías.
Bevilacqua|No sé que haría el PP sin sus jueces, su prensa y su policía patriótica!
enriqueyahoo|@Babia #414 Cerrar El Partido Judicial, añorando el franquismo, como Esperanza Aguirre y Aznar. Deje de decir tonterías, por favor.
Segistobre|Hace unas semanas el líder de Manos Limpias adelantó lo que iba a hacer este juez. No es arriesgado pensar que el juez Hurtado tenía la decisión tomada antes de empezar a investigar y la falta de pruebas no le ha supuesto un problema para seguir adelante.
El_futuro_ya_paso|@Casilda #369 Cerrar @ Apagon_Sanchez # 331 no me lo creo . Pues crealo.
Bevilacqua|¡Qué barbaridad! ¡El fiscal general defraudando a Hacienda y viviendo en un ático pagado de forma sospechosa!!
MCB_|Es de esperar que si un fiscal general corrupto puede ser procesado, también podrá hacerse lo mismo con un presidente corrupto del Tribunal Constitucional, con un presidente corrupto del CIS, con un presidente corrupto del Banco de España... y con un presidente corrupto del gobierno.
El_futuro_ya_paso|@ADELE_ #377 Cerrar @ Indomito # 255 Ya, qué pesada soy con Mazón, verdad? Si los familiares de sus 228 víctimas ya le han perdonado. No se enfade con él, no todo el mundo entiende que tiene usted un Trastorno Obsesivo Compulsivo. Claro, que el que no tome la medicación tampoco ayuda ¿eh?
Segistobre|La justicia PPera sabe que los casos fake del FGE y los del hermano y mujer de Pedro Sánchez quedarán en nada. Lo que importa es el ruído mediático e intentar prolongar los casos si fuera posible hasta la celebración de nuevas elecciones con el fin de debilitar al Gobierno.
ADELE_|@tienesrazon #425 Cerrar Sánchez y Ortiz deberían estar en prisión preventiva, son el peligro público número uno para nuestra democracia, y para nuestras arcas. Y a Mazón Ayuso debería darle una medalla, como hizo con Israel. Tantos muertos no pueden quedarse sin un premio.
tienesrazon|Nunca se había visto a un Gobierno atacar así a la Justicia. La UE debería tomar cartas en el asunto, no puede permitir que en una supuesta democracia dentro de la UE el Ejecutivo ataque e insulte al Judicial. Por menos sancionaron a algún país del este. Con Sánchez son tantas las cosas que nunca habían pasado en una democracia, y ninguna buena.
ADELE_|@jinetes123 #431 Cerrar Este si que va pa'lante Qué insinúa usted, que lo de Begoña no va pa'lante? Es usted rojo?
Negroponte|@Hispano1059 #422 Cerrar Este pájaro y el novio de la reina de Madrid, los dos caminito de Belén, uno por mafioso y el otro por chorizo, compartiendo celda en Alcala- Meco, conociéndose y al final haciéndose amigos. NO LO VEREMOS, ambos se irán de rositas... Pues tendría su gracia, los dos en la misma celda y compartiendo bocadillos de mortadela.
_Placebo72|@ntl #421 Cerrar Los de los llantos por los "pepejueces prevaricadores" son los mismos que se negaban a que el CGPJ se renovara con un sistema que garantizara su independencia. Usted está segura que el PP quería un CGPJ independiente, Sra? Es tan ilusa que piensa que va a cambiar un sistema que siempre les ha beneficiado cuando han gobernado? En serio?
ANNEMANN|@ADELE_ #377 Cerrar @ Indomito # 255 Ya, qué pesada soy con Mazón, verdad? Si los familiares de sus 228 víctimas ya le han perdonado. . No sé quién diablos es usted, ni me interesa. Pero lo que queda claro es que es una pagada por el PSoe para incidir en las redes, pues una persona normal, sin sueldo, no da tanto la tabarra con el mismo tema y misma tendencia que usted. Cambie de nick o déjenos ya en paz, por favor.
FOBIUS|Al tomar posesión los nuevos cargos van a cambiar la formula por Prometo hacer todo posible para la continuidad de Pedro Sánchez en su cargo sin estar sujeto a ningún ley o regla y atacar a todos aquellos que no quieran esa continuidad
Novale|@Pppa #429 Cerrar Qué buena noticia!!! Es de lo poco que hace aún creer que no todo vale. Gracias a los Jueces por seguir haciendo su trabajo, que no debe de ser fácil a día de hoy!! totalmente de acuerdo, este tipo d cosas es lo que hace ganar votos al psoe ¿¿
Shigley|@observarlo #415 Cerrar Todo pesa y usted debe saber que el magistrado Hurtado en la GURTEL no entendía lo que era 'M. Rajoy', sí, es el mismo. Además cuando M. Rajoy fue a testificar forzó a que le pusieran al mismo nivel de tarima que los Magistrados que allí estaban... Y recuerde usted que hace nada otro juez, Peinado, fue a La Moncloa y exigió rotundamente que le elevaran a él en una tarima que debía estar por encima del Ministro de Justicia al que preguntaba... Por cierto este magistrado Hurtado es el que se escaqueó en firmar la condena al PP de la GURTEL... todo pesa. HAGA USTED LAS CONEXIONES, ES MUY FÁCIL. el que pesa y mucho eres tu; pesado. El juez no se escaqueó de nada en la condena al pp ya que el tribunal supremo descartó en la sentencia del caso Gürtel, la responsabilidad penal del Partido Popular. No difundas bulos que parecerá que es del psoe
ElequipoA|Españezuela, Expanya... Llámale X
Bostezador|Podría ser absuelto y si no, lo hará el tribunal constitucional. Por lo tanto le doy mínima importancia a esta noticia.
bolsapipas|Se apaga la música, se encienden las luces...
enriqueyahoo|Pedro Sánchez lleva 40 días sin aceptar preguntas de periodistas. Y hemos conocido los audios con Ábalos, a la fontanera Leire contra jueces y la Guardia Civil, el falso atentado con bomba lapa, Conferencia de Presidentes, procesamiento del Fiscal General del Estado... y seguro que me dejo cosas.
jinetes123|Este si que va pa'lante
tienesrazon|@Casilda #348 Cerrar @ tienesrazon # 215 nada comparado con los 30 juicios que tiene pendientes el pp y algunos con 30 años de cárcel. Casidilta, que los juicios al PP nos importan una m, jajajaja, lo que interesa es lo corrupto que es tu jefe de Moncloa, el jefe de la Rosa Nostra, y que tiene como principales ayudantes a los prevaricadores Ortiz y Pumpido.
Pppa|Qué buena noticia!!! Es de lo poco que hace aún creer que no todo vale. Gracias a los Jueces por seguir haciendo su trabajo, que no debe de ser fácil a día de hoy!!
Diamondfon|@Babia #414 Cerrar El Partido Judicial, añorando el franquismo, como Esperanza Aguirre y Aznar. si volviese el franquismo usted no ganaría en pañales.....
228dead|@Con_tres_000 #333 Cerrar @ 228dead # 305 ¿Quién es usted?, no tengo el gusto de conocerle. Si busca rollete LGTBI, le sugiero que acuda a una sauna, o al ministerio del interior, le recibirán con las nalgas abiertas. Que tenga un buen día. jajaj, no gracias, porque ya tienes al mondongo, el periodista moreno ese de 2 metros de vox y a ese no hay quien le tosa, disfruta
ntl|@Korreynopares #409 Cerrar @ Community_Ferraz # 374 en Ferraz no tenemos curro suficiente, y tenemos que responder a hechos evidentes con estupideces? como si la propaganda no fuera curro.... inmenso....
tienesrazon|Sánchez y Ortiz deberían estar en prisión preventiva, son el peligro público número uno para nuestra democracia, y para nuestras arcas.
FOBIUS|@Community_Ferraz #374 Cerrar Hola, compañeros. Inadmisible. Una vez más, los jueces de ultraderecha están destrozando la democracia que hemos conseguido desde que nuestro amado presidente ganó las elecciones y decidió pactar con multitud de partidos demócratas españoles. No os creáis que lo hacen por algo tan grave como filtrar los datos personales de un particular. NO. No es un particular, es el novio de nuestra rival Ayuso, aunque todo ocurriera antes de serlo. Lo hacen porque no soportan que la Fiscalía dependa de Ferraz. Como soléis hacer cuando atacan a un miembro del partido, os pedimos que no penséis y desviéis la atención hablando de Ayuso, Mazón, Franco o lo que se os ocurra. Le hemos dado permiso al compañero Adelerdo para que insulte sin argumentos, como de costumbre. Dadle muchos positivos que su tratamiento depende de ello. Algún día existirá una democracia real en España donde no haya reglas y todo valga para mantener a un socialista o amigo en el poder Y donde los que no sean partidarios de esto se pudran en cárceles o campos de reeducación
El_futuro_ya_paso|A la espera del nuevo Bulofax de moncloa en el que nos quieran hacer lo negro blanco y la noche día.
Hispano1059|Este pájaro y el novio de la reina de Madrid, los dos caminito de Belén, uno por mafioso y el otro por chorizo, compartiendo celda en Alcala- Meco, conociéndose y al final haciéndose amigos. NO LO VEREMOS, ambos se irán de rositas...
ntl|Los de los llantos por los "pepejueces prevaricadores" son los mismos que se negaban a que el CGPJ se renovara con un sistema que garantizara su independencia.
PAUS|@Ensaes #413 Cerrar La manifestacion de ayer desaparecida de los medios de comunicación. !!!???? Vaya a el debate que le van a mostrar unas fotos muy bonitas de la manifestación de ayer a la que fui y que estaba a reventar.
El_futuro_ya_paso|@Jacobo07 #385 Cerrar Y supongo que, durante el juicio al fiscal general, el fiscal de sala tendrá que pedir instrucciones a su jefe, es decir el acusado, sobre si posicionarse en contra o a favor del acusado... es surrealista y desquiciante... Lo que no es una suposición sino una certeza es que la defensa del golfo este la vamos a pagar todos los españoles, puesto que se encargará de ello el ministerio fiscal el cual en contra de los intereses del Estado irá a favor de los intereses del acusado. Y eso si que es indignante.
XxXxXxXx|@El_futuro_ya_paso #370 Cerrar A ver qué conejo de la chistera se saca el presidente fallido y corrupto. No descartemos que saque los tanques a las calles. Ahora está en modo Falcon, se coge un vuelo a dónde sea, con tal de no dar la cara, lo mismo se ha pasado el finde en la Antartida, que hace fresco
QueAscodeTipo|Pobre hombre, debería irse ya. España no se puede permitir tener a presuntos delincuentes, pero procesados, a la espera de juicio. Es algo vergonzante para sus compañeros tener un jefe así en estas condiciones y para españoles que en estos momentos están siendo juzgados, pero sometidos a la ley, bajo la presión de un fiscal ; qué razón pueden llegar a tener cuando soliciten que empiecen a aplicar la justicia por su propio gremio. El fiscal general tiene que dimitir ya y empezar a hacer enmienda de sus pecados presuntos.
21031953|Ole ole y Ole por el juez que no se acobarda por los ataques del gobierno y defiende la democracia, las libertades y la justicia de España...siempre con el poder judicial..por encima de todo y de este gobierno con tantos temas de corrupción..
observarlo|Todo pesa y usted debe saber que el magistrado Hurtado en la GURTEL no entendía lo que era 'M. Rajoy', sí, es el mismo. Además cuando M. Rajoy fue a testificar forzó a que le pusieran al mismo nivel de tarima que los Magistrados que allí estaban... Y recuerde usted que hace nada otro juez, Peinado, fue a La Moncloa y exigió rotundamente que le elevaran a él en una tarima que debía estar por encima del Ministro de Justicia al que preguntaba... Por cierto este magistrado Hurtado es el que se escaqueó en firmar la condena al PP de la GURTEL... todo pesa. HAGA USTED LAS CONEXIONES, ES MUY FÁCIL.
Babia|El Partido Judicial, añorando el franquismo, como Esperanza Aguirre y Aznar.
Ensaes|La manifestacion de ayer desaparecida de los medios de comunicación. !!!????
ntl|Toda la presunción de inocencia que quieras pero ¿los fiscales en su juicio son sus subordinados jerárquicos?
m101|Hasta aquí llega la pestilencia que emana de la judicatura española. El juez de turno se pasa por esa toga sucia lo que digan los periodistas a los que llamó a declarar, miente y además, considera como conversación una conexión de cuatro segundos con un buzón de voz. Y así, mintiendo y prevaricando cerraron en su día EGIN.
FOBIUS|No hay ningún cargo del Estado que tenga mentalidad de servicio público Son todos guardia pretoriana de Pedro Sanchez y su única misión es proteger su cargo y el de sus amigos y actuar contra posibles rivales
Korreynopares|@Community_Ferraz #374 Cerrar Hola, compañeros. Inadmisible. Una vez más, los jueces de ultraderecha están destrozando la democracia que hemos conseguido desde que nuestro amado presidente ganó las elecciones y decidió pactar con multitud de partidos demócratas españoles. No os creáis que lo hacen por algo tan grave como filtrar los datos personales de un particular. NO. No es un particular, es el novio de nuestra rival Ayuso, aunque todo ocurriera antes de serlo. Lo hacen porque no soportan que la Fiscalía dependa de Ferraz. Como soléis hacer cuando atacan a un miembro del partido, os pedimos que no penséis y desviéis la atención hablando de Ayuso, Mazón, Franco o lo que se os ocurra. Le hemos dado permiso al compañero Adelerdo para que insulte sin argumentos, como de costumbre. Dadle muchos positivos que su tratamiento depende de ello. en Ferraz no tenemos curro suficiente, y tenemos que responder a hechos evidentes con estupideces?
ROADSTER|Un sujeto que camina por la calle agarrándose fuertemente las mangas de la americana es síntoma de que tiene algún trastorno neurológico.
Pan_Solo|Es que el juez les tiene manía. Y cuando dijo Alvarone que él era el el último responsable? Eso está grabado! Pues ahora a apencar, ricitos.
ROADSTER|El fiscal general estaba realizando periodismo de investigación para publicar un libro sobre la pareja de Ayuso. Es un Leire 2.0.
El_futuro_ya_paso|@Rakataplan #384 Cerrar El golpe sigue su curso. Sí, pero si cae Don Alvarone, el Uno queda expuesto.
Maxd103|De quien depende el Fiscal General del Estado..pues eso ...mira qué son lenguetones está gente...y decía Antonio que había que pedirle perdón
mimundo69|No se puede ser equidistante con la que está cayendo. La degradación institucional y las leyes inconstitucionales que se han aprobado y que se quieren aprobar para debilitar nuestro estado de derecho y beneficiar a un golpista fugado y a las minorías xenófobas nacionalistas que sostienen a Sánchez en la presidencia para que controle el poder y pervierta el orden constitucional son intolerables y constituyen alta traición a la nación española.
Glutamato2025|Qué rabioso está hoy el corrupto Bolaños, que divertido. Imagino la rabia que tendrá el psicópata corrupto Sanchez, va a romper toda la vajilla monclovita
Judlvynmqlv|Como cantaban Héroes del Silencio, "Esta es mi espina. Iberia sumergida en sus rumores clandestinos".
Jacobo07|Sé fuerte Álvaro.
Marianopel|Sé fuerte, Álvaro, Pumpido te sacará
Amarra|@Casilda #359 Cerrar @ Con_tres_000 # 333 pillín y como sabes eso ???. Te habrá visto pir allí.
Pirulista|A cualquier plebeyo se le escapa datos de alguien y le empapela protección de datos, a los patricios no,aunque digan cuantas veces estaba tu cuenta en rojo, o ... cualquier sabe, los brazos del poder son alargados, sobre todo de este poder
Abj|P'alante
XTerra|Bueno, bueno, bueno... hace un mes y le tocó al Hermanísimo, ahora al Fiscal General. En nada Begoña y luego "La Periodista" Leire Díez y sigue una lista larga de amegos de Pedro que uno a uno van a quedar tras las rejas. Orgulloso de España y su sistema judicial, que no ha cedido frente a las tremendas presiones y tejes y manejes de un Ejecutivo corrupto y mafioso.
Chuloide|@Quetevotetxapapote #335 Cerrar Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España, el juez PPero Hurtado sale en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no). entonces, hagamos resumen, bego todo perfecto sin mácula, el hermano músico de pro empozoñado, el FG no hizo nada, koldo y ábalos nada de nada, leire nada de nada. Es decir, nos tenemo que creer que nada de nada de todos pero que la justicia va contra vosotros. Una cosita, y si fuera el pp y fuera verdad, qué haría la adjudicatura, el supremo, europa? Lo que está haciendo no? No nos pongáis entre el psoe y el sistema, que sabemos qué escoger No a las religiones no al socialismo
NickiMicki|¿Los bares y las terrazas están llenos? Pues eso.
yosoyelRock|Palante...
Feanen|@Victrix #323 Cerrar @ umbral2 # 3 pues si que pasa: con un juez que huele a prevaricador cuando usted habla de juez prevaricador, está hablando de Pumpido y sus Pumpidetes, ¿verdad? Caso ERE, amnistía, .... todo Ok.
FURILO|ESte juez en cualquier momento le ponen una bomba lapa, y ya sabemos quien
El_futuro_ya_paso|Tranquilo Alvaro, siempre nos quedará Pumpido.
Jorgete_vlc|@Casilda #348 Cerrar @ tienesrazon # 215 nada comparado con los 30 juicios que tiene pendientes el pp y algunos con 30 años de cárcel. ¿Pero que tendrá que ver una cosa y otra? El que la haya hecho, que la pague. Pero lo de lanzarse la m-ierda entre nosotros, solo les beneficia a ellos
Amarra|@Dluck #149 Cerrar @ ADELE_ # 4 Estimada @ ADELE: no te he visto mucho por aquí, opinando sobre la fontanera ni sobre otros casos en los que el PSOE va en caída libre. ¿Es este un patético intento de salvarle la cara a este sonrisitas? (que por cierto, últimamente mucho ya no sonríe). A Pedro Trilero tampoco le podemos pedir su opinión, porque está escondido debajo de la mesa de SU Falcon, y no responde preguntas. Por otra parte, podéis estar tranquilos en Ferraz, porque los traidores del PNV os seguirán sosteniendo, que les venís muy bien. Cómo que no anda por aquí?? A ver de donde te crees que saca el bocata de sardinas que se está comiendo ahora mismo. Luego vuelve a la carga para la merienda.
Tortilla_de_mortadela|@LuisM #362 Cerrar Sanchistas del foro: de verdad no os da vergüenza comportaros como los guerrilleros de Cristo Rey en el franquismo? Porque todos los supuestos escándalos que denunciáis dan risa y se sabe de dónde salen y cuál se su objetivo. Lo aprendimos desde que empezasteis con la "policía patriótica" y el falso informe PISA.
Jacobo07|Y supongo que, durante el juicio al fiscal general, el fiscal de sala tendrá que pedir instrucciones a su jefe, es decir el acusado, sobre si posicionarse en contra o a favor del acusado... es surrealista y desquiciante...
Rakataplan|El golpe sigue su curso.
Amarra|@Burgos2 #278 Cerrar @ El_futuro_ya_paso # 267 PP TRES VECES CONDENADO POR CORRUPCION, JEJE. RATO, ZAPLANA ETC JEJE. AYUSO Y SYS ANCIANOS, POLICIA PATRIOTA, UCO PATRIOTA, MINISTRO DEL INTERIOR TIC TAC, ESTAIS ACABADOS JEJE. Y Q CURIOSO Q EL PSOE NO. JAJAJAJA No te creas eso de 100 años de honradez, te han engañado.
NickiMicki|Se fuerte, Álvaro, se fuerte. Hacemos lo que podemos.
Nachoruiz|Alguien dudaba que el ppjuez Hurtado iba a decidir lo que ha decidido? Quien pueda hacer que haga
JPV|A ver cuánto tardan las cloacas del PSOE en atacar a los jueces y a quién piense diferente.
convistasalmar|¿ De quién depende el Fiscal (especialmente éste) ? Si el Fiscal fuese declarado culpable, este de quien depende ¿ se irá de rositas?
Paracelsa|@Burgos2 #263 Cerrar @ Paracelsa # 219 CHURRI DE AYUSO JEJE Socialista, me llamo Antonio por si te sirve de pista. Que le van a condenar es un realidad por que es un delincuente y ha delinquido, si ahora quieres especular y mirar para otro lado como hacen tus lideres, tu mismo. Cada palo que aguante su vela majo.
ADELE_|@Indomito #255 Cerrar @ ADELE_ # 197 estás en bucle con Mazón , cambia a la cara B del single . Ya, qué pesada soy con Mazón, verdad? Si los familiares de sus 228 víctimas ya le han perdonado.
Community_Ferraz|Hola, compañeros. Inadmisible. Una vez más, los jueces de ultraderecha están destrozando la democracia que hemos conseguido desde que nuestro amado presidente ganó las elecciones y decidió pactar con multitud de partidos demócratas españoles. No os creáis que lo hacen por algo tan grave como filtrar los datos personales de un particular. NO. No es un particular, es el novio de nuestra rival Ayuso, aunque todo ocurriera antes de serlo. Lo hacen porque no soportan que la Fiscalía dependa de Ferraz. Como soléis hacer cuando atacan a un miembro del partido, os pedimos que no penséis y desviéis la atención hablando de Ayuso, Mazón, Franco o lo que se os ocurra. Le hemos dado permiso al compañero Adelerdo para que insulte sin argumentos, como de costumbre. Dadle muchos positivos que su tratamiento depende de ello.
tienesrazon|Que disgusto llevamos los rojos, ay ay ayyyyy, ¿y quién nos defenderá ahora de nuestras corrupciones?. Es que para que nos indulte Pumpido antes nos tienen que condenar, ay ay ayyyyy, ¿no podemos robar en paz o qué?. Pumpido, tienes que hacer una amnistía preventiva, en cuanto pillen a un rojo robando será amnistiado automáticamente. Pumpi, sálvanos porfa.
Community_Ferraz|Hola, compañeros. Inadmisible. Una vez más, los jueces de ultraderecha están destrozando la democracia que hemos conseguido desde que nuestro amado presidente ganó las elecciones y decidió pactar con multitud de partidos demócratas españoles. No os creáis que lo hacen por algo tan grave como filtrar los datos personales de un particular. NO. No es un particular, es el novio de nuestra rival Ayuso, aunque todo ocurriera antes de serlo. Lo hacen porque no soportan que la Fiscalía dependa de Ferraz. Como soléis hacer cuando atacan a un miembro del partido, os pedimos que no penséis y desviéis la atención hablando de Ayuso, Mazón, Franco o lo que se os ocurra. Le hemos dado permiso al compañero Adelerdo para que insulte sin argumentos, como de costumbre. Dadle muchos positivos que su tratamiento depende de ello.
lmartinm|Palante.
ELISEO23|Un Fiscal General, haciendo de político para "ganar el relato" a las órdenes de uno que esconde urnas para conseguir un cargo y, a partir de ahí, engañar a la militancia (aunque a ésta no tanto) a los ciudadanos, a sus votantes, construyendo muros, dividiendo a los españoles con gerracivilismo (como su antecesor), traicionando la unidad de España y la igualdad de los españoles. Ningún ministro dimite. Todos son cómplices contumaces de este desastre.
El_futuro_ya_paso|A ver qué conejo de la chistera se saca el presidente fallido y corrupto. No descartemos que saque los tanques a las calles.
Casilda|@Apagon_Sanchez #331 Cerrar @ LaAmenazadeLosgolpistas # 239 Si piensas que solo hay democracia cuando gobiernan los tuyos ... pero así no pensamos los demócratas, así solo pensáis los dictadores. no me lo creo .
Casilda|@tienesrazon #332 Cerrar @ Quetevotetxapapote # 271 Pedimos humildemente perdón a los rojos porque Morante saliera a hombros, Alcaraz ganara el Roland Garrós y el corrupto Fiscal General sea procesado, no se volverá a repetir, jaja. tonterías las justas , abuela .
Amarra|@condosco80 #303 Cerrar Me alegro, que le juzguen. Pero sin olvidar que detras de esta filtracion esta un defraudador de millones de euros a Hacienda que resulta ser el novio de la Presidenta de la Comunidad de Madrid. Vaya panorama. Que les juzguen a los dos, pero creo que la deuda de González Amador es de unos 350.000 €. Los millones de euros son los de los eres, el Tito berni, Air Europa, Pachá, la catedra,...
ADELE_|@El_futuro_ya_paso #257 Cerrar Disculpen a @ ADELE_ # 221, hoy no ha tomado la medicación y con esta noticia está especialmente rabioso. No contesten, pulsen el botón de denunciar y a otra cosa mariposa. Lea mi comentario @ADELE_ #261 Cerrar @ Ras # 179 Rabiando no se ganan unas elecciones, Ras. De ser así Vox habría sacado mayoría absoluta en 2023. Pero perdieron 19 escaños. y sustituya "Ras" por "El Futuro". Si no sabe leer, dígale a la enfermera de la residencia que se lo lea.
slanny|@Casilda #342 Cerrar @ No_voto_a_nadie # 217 totalmente de acuerdo . exquisito. No se por qué se gastan miles de euros en procesos judiciales, si tenemos a varios ilumiti sueltos que pueden dictar sentencias sin tener ni idea del tema.
JohnMcCLANE_|@Apagon_Sanchez #128 Cerrar @ JohnMcCLANE_ # 13 Los corruptos de Sánchez jamás dimiten. Y los del PNV encantados de todo el fango que les salpica. Les gusta el fango. Al PNV lo que le va es el chantaje. Las corruptelas les resbalan aunque ésa fuese la excusa para la moción de censura. Les interesa un partido en Moncloa al que le dé igual su país, y con el dictador lo tienen garantizado.
LuisM|Sanchistas del foro: de verdad no os da vergüenza comportaros como los guerrilleros de Cristo Rey en el franquismo?
