umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
Laila889|Todos los partidos haciendo siempre de las suyas con lo judicial. El PP metió mano en lo del rey, en la Gürtel y en todo lo que pudo. El PSOE mete la mano en todo lo que puede también. Y los españoles aplaudiendo que lo hagan unos y criticando que lo hagan otros. Cuando todos deberían estar en la cárcel por injerencias en el poder judicial, primera norma de un país que quiere evitar la corrupción política. Deberíais exigir que todos cumplan las normas democráticas, no que unos se las salten mientras sean vuestros perturbados favoritos.
brandonmaltes|Está demostrado ante notario por varios periodistas que no fue el FGE quien filtró, pero a la prensa del PP le da igual. Le llaman "línea editorial". Al juez también le da igual. No digo lo que pienso del juez Hurtado para no ser censurado. El FGE no debe dimitir, porque nos jugamos la democracia.
Unolibre|Jajaja los. Fachipobres.... Soy la caña... Es un querer y no poder.... Por dios leer otro periódicos... Soy rojillo y me gusta otros periódicos y comparar, ver quienes son los dueños, etc.. pero soy como el rebaño que ayer sacó a pasear por la plaza de España.... Que es pequeña.... Pequeñaaaaa.... Y esto es una cortina de Humo de la Justicia política del PP.. Nadie de Podemos está en la cárcel... Porque entre la guerra sucia de la policía patriótica y los jueces corruptos..... Así vamos Hay un listos que dice porque europa no hace nada .. te lo explico como un rojo currante.... Porque si algún caso de estos llega a europa lo tumban porque son casos sin pruebas.... Por eso los jueces del PP imputab y los jueces después dicen que nada de nada pero el daño está.....por eso el PP no permite que llegue al tribunal de justicia europeo
El_futuro_ya_paso|Disculpen a @ADELE_ no toma la medicación y... Ya ven.
Nomeacuerdodenada|@Quetevotetxapapote #674 Cerrar Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España, el juez PPero Hurtado (que no supo quién era M. Rajoy), sale raudo en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no). gracias a Dios en breve vas a estar ¿tapado¿ en una cuneta!
Nomegustalasmafias|Gobierno podrido desde el minuto UNO
No_mas_politicos|@Luiggito #647 Cerrar El juez que tiene la certeza de que la filtración se produjo por orden de Sánchez sin una sola prueba es el mismo que no veía ninguna relación de Mariano Rajoy con los apuntes de M.Rajoy de la contabilidad B del PP. Sorpresa para nadie en serio? Es usted un adulto para poder ejercer el sufragio universal?
ntl|@_Placebo72 #593 Cerrar @ ntl # 584 Ay señora. El PP lo prometió, lo pudo hacer pero como estaba cubierto de M. hasta los cimientos de Génova 13, esperó a estar en la oposición para exigirlo. El PP nunca cede en nada si no sale beneficiado en todo. Por favor, no sea tan ilusa. Mi punto no es por qué las mafias se reparten a los jueces, lo que he dicho es que aquel que ha defendido que se los repartan que no me venga llorando con pepejueces o rojojueces.
No_mas_politicos|@mercurio1 #642 Cerrar Que pensaran los jueces en Europa cuando vean que el presidente del tribunal supremo aprueba una causa sin aportar pruebas ni explicacines,y solo en base a suposiciones propias bueno, esa es su apreciación. Encausar a todo un fiscal general del estado requiere de consentimientos adicionales. No creo que el juez instructor, y más del supremo, sea un zote para cometer irregularidades plausibles, mas bien pienso que las diligencias se omite ciertos aspectos que solo verá el tribunal que admita o no la causa. Si están donde están los indicios son sólidos. No hablamos de un carterista de metro, hablamos del Fiscal general... Solo de pensarlo me da tiricia
Casilda|@2012pepes #597 Cerrar @ _Placebo72 # 528 En el último "reparto" de jueces, el socialismo eligió a los que quiso (por cierto, en mayor número que los que eligió el PP). Se puede quejar si es de otro partido, con mucha razón. Pero no si intenta defender al Psoe. bulero , que no se entera ...10 PP 10 PSOE , no invente.
tienesrazon|@Rakataplan #666 Cerrar @ tienesrazon # 628 Lo que no ve normal Europa y está horrorizada es con la oposición franquista que aún sobrevive en España. Von Der Leyen horrorizada de que en su país a los n4z1s se los encarcela y en España a los franquistas se los ensalza. Lo tuyo es una opinión y bastante tonta por cierto. Pero dime qué es lo que no es cierto en mi comentario #628 Cerrar ¿Y por qué Europa no hace nada?. ¿Ven normal que un Fiscal General del Estado esté procesado por revelación de secretos y no dimita?. ¿Ven normal que todo un Gobierno ataque al Poder Judicial e insulte a los jueces?. ¿Éso es normal en una democracia dentro de la UE?. Por favor, que vergüenza. . Ve al grano.
ADELE_|@_Placebo72 #665 Cerrar @ pepote25 # 635 Yo , a un anciano que bebe el vino como si fuera agua en un desierto, seguro que no. Oiga, no se burle del alcoholismo de Pepotón85. ¿No sabe que el alcohol ha convertido su vida en un infierno? No haga usted como Ayuso, el alcohol es un problema serio.
El_futuro_ya_paso|Ista, ista, ista... La España socialista.
MalditosRoedores|Bolaños niega "rotundamente" que Moncloa diera instrucciones a García Ortiz y lamenta que el Supremo lo afirme sin pruebas. O. López dice que la oposición al gobierno la hacen los lunes los jueces. Están acusando, sin pruebas, de prevaricación al juez del T. Supremo; son 2 llamaradas del golpe de Estado que está perpetrando Corrupsoe, lo hacen burdamente para intentar justificar que van a nombrar jueces afines a los zurdos, le van a quitar la instrucción a los jueces, que son independendientes para dársela a los fiscales que son DEPENDIENTES del gobierno, zurdo. Estamos cada día mas cerca de la dictadura al modo cubano, al modo comunista.
Indomito|Álvaro , dicen los entendidos que los estampados a rayas hacen la silueta más delgada , así que el pijama carcelero te va a favorecer
Blankito|La manifestacion debería haberse celebrado delante de todas -Delegaciones y Subdelegacipnes provinciales -de la MAFIA- GOBIERNO DE ESPAÑA-
Casilda|@tienesrazon #605 Cerrar @ nifacha_niwoke # 558 Que te lo digan a ti lo de la falta de la verdad. Un perroflauta haciéndose pasar por un empresario que tiene tropecientas empresas y paga muchos impuestos, jajajaja, pero está sobrado de tiempo y aquí está defendiendo la corrupción del PSOE, muy convincente sí, perroflauta, jaja. Pues anda que no venís tíos de extrema izquierda aquí haciéndoos pasar por cosas de lo más variopintas. está usted muy enferma, todo el día y todos los días escribiendo chorradas y encima de gratis .. visite al especialista.
ADELE_|@Tomasone #632 Cerrar @ ADELE_ # 545 Tu no te hagas tampoco ilusiones, que en kta calle se cobra menos Oye, en serio, a ti qué tipo de educación te dieron en casa?
Casilda|@Yamuy #615 Cerrar @ AntonioLuque # 581 Esas cajas que las dejaron hechas una basura el gobierno del Psoe y a las que Europa mientras gobernaba el Pp las obligó a rescatar para que el sistema financiero no colapsada,creo recordar que en esa época uno de los consejeros de Caja Madrid era el galgo,no??? no anda usted muy fino , verdad ???
Tertuliano2|@Tomasone #633 Cerrar @ 228dead # 543 Dabes que Goebels no tenía razón, que aunque repitas mentiras, no cuelan @Indomito #627 Cerrar No hay que ser un lince para que en Europa nos tengan calaos . No el 5% en defensa , ni opa del BBVA a Sabadell , ni centrales nucleares con apagón general incluido , ni Ave moderno , la joya de la corona , más Km que nadie , debido al robo de cobre, ni presupuestos , ni vivienda social y ahora el Fiscal General a declarar en juicio . el que estás ¿calao¿ del odio que destilas eres tú. Seguíd ladrando que nosotros cabalgamos gobernando y haciendo más rico e importante a nuestro PAÍS, y reduciendo las desigualdades que dejasteis (más becas, más pensiones, incremento notable del salario mínimo interprofesional, más ayudas a los más vulnerables, más guardia civil y policía nacional, etc.)
Casilda|@ADELE_ #620 Cerrar @ Kheops # 589 Cálmese, tómese un tila y ya si eso vuelva a dirigirse a mí. jijiji , muy bueno .
Casilda|@mercurio1 #642 Cerrar Que pensaran los jueces en Europa cuando vean que el presidente del tribunal supremo aprueba una causa sin aportar pruebas ni explicacines,y solo en base a suposiciones propias el tribunal supremo archivará la causa y se les acabó el rollo .
El_futuro_ya_paso|Álvaro no quería perder el relato y en lugar de mirar detrás del sofá se metió en este lío.
No_mas_politicos|@Segistobre #649 Cerrar Ángel Hurtado ha decidido procesar a Álvaro García Ortiz, por la filtración del correo con la confesión de fraude fiscal de la pareja de Isabel Díaz Ayuso. El juez asegura que el fiscal general actuó siguiendo "indicaciones recibidas de Presidencia del Gobierno" . Sin embargo, el auto, de más de 50 folios, no aporta ninguna prueba concreta sobra esas "indicaciones" llegadas desde el Gobierno. de donde es el copia-pega? Seguramente usted no tenga todos los datos ni las evidencias por el tratamiento especial y condición del Fiscal general. No se abre causa sin indicios, aunque pudiera ser que el tribunal desestime el caso. Para mí sería deseable un acuerdo y la destitución del fiscal por la gravedad del asunto. La imagen proyectada sería tremenda, se pondría en entredicho la seguridad jurídica y las inversiones.
Anny|E LO QUE TIENE ALIARSE CON UNA BANDA , EN LUGAR DE EJERCER LA JUSTICIA
